Grape,Type,Common
Agiorgitiko,Red,
Aglianico,Red,
Airén,White,
Albariño,White,
Aleatico,Red,
Alfrocheiro,Red,
Alicante Bouchet,Red,
Aligoté,White,
Arinto,White,
Arneis,White,
Arvine,White,
Assyrtiko,White,
Auxerrois,White,
Avesso,White,
Bacchus,White,
Baco Noir,Red,
Baga,Red,
Barbera,Red,1
Bical,White,
Blaufränkisch,Red,
Bobal,Red,
Bombino Bianco,White,
Bonarda,White,
Bourboulenc,Red,
Brachetto,Red,
Bual,White,
Cabernet Franc,Red,1
Cabernet Sauvignon,Red,1
Canaiolo,Red,
Carignan,Red,
Carmenère,Red,
Castelão,Red,
Catarratto,White,
Catawba,Red,
Charbono,Red,1
Chardonnay,White,1
Chasselas,White,
Chenin Blanc,White,1
Cinsaut,Red,1
Clairette,White,
Coda di Volpe,White,
Colombard,White,
Concord,Red,
Cortese,White,
Corvina,Red,
Counoise,Red,
Cserzegi Fuszeres,White,
De Chaunac,Red,
Delaware,White,
Dolcetto,Red,1
Dornfelder,Red,
Erbaluce,White,
Falanghina,White,
Fer,Red,
Feteasca Alba,White,
Fiano,White,
Folle Blanc,White,
Frappato,Red,
Freisa,Red,
Friulano,White,
Furmint,White,
Gaglioppo,Red,
Gamay,Red,
Garganega,White,
Gewürztraminer,White,
Godello,White,
Graciano,Red,
Grechetto,White,
Greco,White,
Grenache/Garnacha,Red,1
Grenache Blanc,White,
Grignolino,Red,
Grolleau,Red,
Gros Manseng,White,
Grüner Veltliner,White,
Hárslevelü,White,
Hondarrabi Zuri,White,
Inzolia,White,
Irsay Oliver,White,
Kadarka,Red,
Kerner,White,
Lagrein,Red,
Lambrusco,Red,
Len de L'el,White,
Lladoner Pelut,Red,
Loureiro,White,
Macabeo,White,
Malagousia,White,
Malbec,Red,1
Malvasia,White,
Malvasia Nera,Red,
Maréchal Foch,Red,
Marsanne,White,1
Marzemino,Red,
Mauzac,White,
Mavrodapne,Red,
Melon de Bourgogne,White,
Merlot,Red,1
Menica,Red,
Meunier,Red,1
Molinara,Red,
Monica,Red,
Montepulciano,Red,
Mourvèdre,Red,
Müller Thurgau,White,
Muscadelle,White,
Muscat Blanc,White,
Muscat of Alexandria,White,
Muscat Ottonel,White,
Nebbiolo,Red,1
Negroamaro,Red,
Nerello Mascalese,Red,
Nero D'Avola,Red,
Niagara,White,
Norton,Red,
Palomino,White,
Parellada,White,
Pedro Ximénez,White,
Petite Arvine,White,
Petit Manseng,White,
Petit Verdot,Red,1
Petite Sirah,Red,1
Picpoul Blanc,White,
Picpoul Noir,Red,
Piedirosso,Red,
Pigato,White,
Pignolo,Red,
Pineau D'Aunis,Red,
Pinot Blanc,White,
Pinot Gris,White,1
Pinot Noir,Red,1
Pinotage,Red,1
Plavac Mali,Red,
Portugieser,Red,
Prosecco,White,
Refosco,Red,
Roditis,White,
Riesling,White,1
Rkatsiteli,White,
Rondinella,Red,
Roussanne,White,1
Ruby Cabernet,Red,
Ruché,Red,
Sagrantino,Red,
Sangiovese,Red,1
Saperavi,Red,
Sauvignon Blanc,White,1
Savagnin,White,
Savatiano,White,
Scheurebe,White,
Schiava,Red,
Schioppettino,Red,
Schönburger,White,
Semillon,White,1
Sercial,White,
Seyval Blanc,White,
Silvaner,White,
St. Laurent,Red,
Syrah/Shiraz,Red,1
Tannat,Red,
Tempranillo,Red,1
Teroldego,Red,
Tinta Amerela,Red,
Tinta Barroca,Red,
Tinta Negra Mole,Red,
Tinto Cão,Red,
Torrontés,White,
Touriga Franca,Red,
Touriga Nacional,Red,
Trebbiano/Ugni Blanc,White,
Uva di Troia,Red,
Valdiguié,Red,
Verdejo,White,
Verdelho,White,
Verdicchio,White,
Vermentino,White,
Vernaccia,White,
Vidal,White,
Vignoles,White,
Vilana,White,
Viognier,White,
Welschriesling,White,
Xarel-Lo,White,
Xynomavro,Red,
Zinfandel/Primitivo,Red,1
Zweigelt,Red,
Azal,White,
Trajadura,White,
Txakoli,White,
Cesanese,Red,
Croatina,Red,
Öküzgözü,Red,
Regent,Red,
Rondo,Red,
Triomphe d'Alsace,Red,
Negrara,Red,
Rufete,Red,
Rubired,Red,
Pok Dum,Red,
